region,published_stop_name,canonical_candidate,stop_id,latitude,longitude,coordinate_status,identity_status,verification_date
Berhampur,SHANTI NAGAR,SHANTI NAGAR,REG-0151,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BELLAGAM,BELLAGAM,REG-0152,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,D PATAPUR,D PATAPUR,REG-0153,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,D.PATAPUR VILLAGE,D.PATAPUR VILLAGE,REG-0154,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DHOBADI CHAKA,DHOBADI CHAKA,REG-0155,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DHOBADI VILLAGE,DHOBADI VILLAGE,REG-0156,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BALAKRISHNSPUR VILLAGE,BALAKRISHNSPUR VILLAGE,REG-0157,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NANDIKA,NANDIKA,REG-0158,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RALABA,RALABA,REG-0159,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,D PATAPUR VILLAGE,D PATAPUR VILLAGE,REG-0160,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,OLD BUS STAND,OLD BUS STAND,REG-0161,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,COLLEGE CHAKA,COLLEGE CHAKA,REG-0162,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SP OFFICE,SP OFFICE,REG-0163,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,COLLECTOR RESIDENCY,COLLECTOR RESIDENCY,REG-0164,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DRDA OFFICE,DRDA OFFICE,REG-0165,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BATAO CHHATRAPUR MAIN ROAD,BATAO CHHATRAPUR MAIN ROAD,REG-0166,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BATAO CHHATRAPUR,BATAO CHHATRAPUR,REG-0167,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TAKIRIA BERHAMPUR,TAKIRIA BERHAMPUR,REG-0168,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SANA ARJIPALLI,SANA ARJIPALLI,REG-0169,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KANAMANA,KANAMANA,REG-0170,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DUBULI CHAKA,DUBULI CHAKA,REG-0171,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOPALPUR PORTS MAIN GATE,GOPALPUR PORTS MAIN GATE,REG-0172,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ARYAPALLI VILLAGE,ARYAPALLI VILLAGE,REG-0173,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ARYAPALLI BEACH,ARYAPALLI BEACH,REG-0174,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,INDIAN COAST GUARD,INDIAN COAST GUARD,REG-0175,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MATIKHALA (IIREL),MATIKHALA (IIREL),REG-0176,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TERABASA,TERABASA,REG-0177,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KALIPALLI,KALIPALLI,REG-0178,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BASANAPUTTI CHAKA,BASANAPUTTI CHAKA,REG-0179,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,UPPULAPATTI,UPPULAPATTI,REG-0180,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HARIPUR,HARIPUR,REG-0181,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NARAYANPUR,NARAYANPUR,REG-0182,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SUM SAI ENGINEERING COLLEGE,SUM SAI ENGINEERING COLLEGE,REG-0183,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
